stage,epoch,test_shift_x_px,mse_before,mse_after,mae_before,mae_after,rmse_before,rmse_after,ncc_before,ncc_after,mse_reduction_percent,predicted_flow_abs_mean_lowres
1,2000,0,3.285415288347554e-13,1.6876175550351036e-06,1.3513897556549637e-07,0.0004610514151863754,5.73185422734001e-07,0.001299083351842792,1.0,0.9999884963035583,-168761722.64935747,0.00845484621822834
1,2000,10,0.01876017078757286,0.01984565705060959,0.05278303474187851,0.05495548993349075,0.1369677728064995,0.14087461464227538,0.8646491169929504,0.8570477962493896,-5.786121434223708,0.127048522233963
1,2000,20,0.03489728271961212,0.035086192190647125,0.08319862186908722,0.08419433236122131,0.18680814414690844,0.1873130860101534,0.7474824786186218,0.7466334700584412,-0.5413300300565733,0.21333461999893188
1,2000,30,0.047281764447689056,0.04688187688589096,0.1055031418800354,0.10579787194728851,0.2174437040884124,0.21652223185135278,0.6561046838760376,0.6597544550895691,0.8457543124062508,0.27348753809928894
1,2000,40,0.055480025708675385,0.05467384681105614,0.12060099840164185,0.12035216391086578,0.23554198290044895,0.23382439310528774,0.5930423140525818,0.6000685691833496,1.4530975559609116,0.31241267919540405
10,20000,0,3.285415288347554e-13,2.5847882625384955e-06,1.3513897556549637e-07,0.0005683806957677007,5.73185422734001e-07,0.00160772767051466,1.0,0.9999816417694092,-258478793.39969668,0.06349033117294312
10,20000,10,0.01876017078757286,0.01357518695294857,0.05278303474187851,0.042184047400951385,0.1369677728064995,0.11651260426644222,0.8646491169929504,0.9007219076156616,27.638254967587688,0.6462317705154419
10,20000,20,0.03489728271961212,0.03015284240245819,0.08319862186908722,0.074774831533432,0.18680814414690844,0.17364573822140925,0.7474824786186218,0.7777748703956604,13.595443391033927,0.7830168604850769
10,20000,30,0.047281764447689056,0.04226478189229965,0.1055031418800354,0.0973123162984848,0.2174437040884124,0.20558400203396093,0.6561046838760376,0.687515914440155,10.61081923230683,0.8409910202026367
10,20000,40,0.055480025708675385,0.05004553496837616,0.12060099840164185,0.11210696399211884,0.23554198290044895,0.2237085938634816,0.5930423140525818,0.6275203824043274,9.795400544397074,0.8823904991149902
20,40000,0,3.285415288347554e-13,7.887549145380035e-06,1.3513897556549637e-07,0.001023868564516306,5.73185422734001e-07,0.002808478083478672,1.0,0.999943733215332,-788754881.6838506,0.12491615116596222
20,40000,10,0.01876017078757286,0.008576412685215473,0.05278303474187851,0.032147832214832306,0.1369677728064995,0.0926089233563131,0.8646491169929504,0.9373645782470703,54.28393066177909,1.0569632053375244
20,40000,20,0.03489728271961212,0.02634144388139248,0.08319862186908722,0.06794209033250809,0.18680814414690844,0.1623004740639795,0.7474824786186218,0.8077966570854187,24.517206416794448,1.1155469417572021
20,40000,30,0.047281764447689056,0.03827064484357834,0.1055031418800354,0.09057684242725372,0.2174437040884124,0.19562884461034455,0.6561046838760376,0.7192991971969604,19.058340375770698,1.1367969512939453
20,40000,40,0.055480025708675385,0.04727867990732193,0.12060099840164185,0.10735146701335907,0.23554198290044895,0.21743661123951027,0.5930423140525818,0.6505400538444519,14.782519828701187,1.1665728092193604
30,60000,0,3.285415288347554e-13,1.422095374437049e-05,1.3513897556549637e-07,0.001386908465065062,5.73185422734001e-07,0.003771067984586129,1.0,0.9998993873596191,-1422095341.582896,0.15835905075073242
30,60000,10,0.01876017078757286,0.00402934430167079,0.05278303474187851,0.0215359628200531,0.1369677728064995,0.06347711636228279,0.8646491169929504,0.9708917737007141,78.52181439446215,1.4992854595184326
30,60000,20,0.03489728271961212,0.02198573760688305,0.08319862186908722,0.05988113582134247,0.18680814414690844,0.14827588342978454,0.7474824786186218,0.8431020975112915,36.99871195264392,1.5361922979354858
30,60000,30,0.047281764447689056,0.0348781943321228,0.1055031418800354,0.08486293256282806,0.2174437040884124,0.18675704627168102,0.6561046838760376,0.7502486109733582,26.23330635067383,1.5053215026855469
30,60000,40,0.055480025708675385,0.04414688050746918,0.12060099840164185,0.10212530195713043,0.23554198290044895,0.21011159060715612,0.5930423140525818,0.6798236966133118,20.427433218427744,1.5022540092468262
40,80000,0,3.285415288347554e-13,2.0579685951815918e-05,1.3513897556549637e-07,0.0016920181224122643,5.73185422734001e-07,0.0045364838754057,1.0,0.9998535513877869,-2057968562.3274388,0.19674932956695557
40,80000,10,0.01876017078757286,0.0032460845541208982,0.05278303474187851,0.01952686347067356,0.1369677728064995,0.056974420173626146,0.8646491169929504,0.9763904809951782,82.69693495396548,1.531611442565918
40,80000,20,0.03489728271961212,0.02961559034883976,0.08319862186908722,0.07395736873149872,0.18680814414690844,0.1720918079074067,0.7474824786186218,0.7859243750572205,15.134967421988055,1.5585920810699463
40,80000,30,0.047281764447689056,0.04071740806102753,0.1055031418800354,0.09580440074205399,0.2174437040884124,0.2017855496833892,0.6561046838760376,0.703053891658783,13.88348439052885,1.659558653831482
40,80000,40,0.055480025708675385,0.04962015897035599,0.12060099840164185,0.11178044974803925,0.23554198290044895,0.22275582814004213,0.5930423140525818,0.6338931918144226,10.562119724113776,1.648364782333374
