stage,epoch,test_shift_x_px,mse_before,mse_after,mae_before,mae_after,rmse_before,rmse_after,ncc_before,ncc_after,mse_reduction_percent,predicted_flow_abs_mean_lowres
1,2000,1,0.001792294904589653,0.001732714707031846,0.013272928074002266,0.013236187398433685,0.04233550406679544,0.04162588986474459,0.9870800971984863,0.9874747395515442,3.3242407488430534,0.016982927918434143
2,4000,2,0.004096526652574539,0.0021639796905219555,0.020372692495584488,0.015073593705892563,0.06400411434099014,0.04651859510477456,0.9704695343971252,0.9843168258666992,47.17525664914296,0.0916668102145195
3,6000,3,0.005951082333922386,0.0034154653549194336,0.025229869410395622,0.018951639533042908,0.07714325851247396,0.05844198281132694,0.9570998549461365,0.975243330001831,42.607660871190056,0.16378633677959442
4,8000,4,0.007799702696502209,0.00470872363075614,0.029707688838243484,0.022043395787477493,0.0883159254976259,0.06862014012486524,0.943771481513977,0.9659862518310547,39.62944724972946,0.2367919534444809
5,10000,5,0.009716893546283245,0.005787387490272522,0.03408390283584595,0.02478499338030815,0.09857430469591578,0.07607488081011052,0.9299455285072327,0.9581029415130615,40.439941399932046,0.29617393016815186
6,12000,6,0.011625297367572784,0.006600122898817062,0.03819075599312782,0.026950716972351074,0.10782067226451884,0.08124114043277003,0.9161791205406189,0.9519361257553101,43.22620153160792,0.4429382085800171
7,14000,7,0.013444612734019756,0.008230788633227348,0.042019136250019073,0.030636176466941833,0.11595090656833933,0.09072369389099712,0.903049647808075,0.940011739730835,38.780024415277786,0.4058796763420105
8,16000,8,0.015230603516101837,0.01076313853263855,0.04571590572595596,0.036091890186071396,0.12341233129676239,0.10374554704968571,0.8901546001434326,0.9213515520095825,29.332159941923972,0.4730014204978943
9,18000,9,0.017009995877742767,0.012443672865629196,0.04930439591407776,0.04015496000647545,0.13042237491221653,0.11155121185190771,0.8773001432418823,0.9087890982627869,26.84493896961205,0.5730542540550232
10,20000,10,0.01876017078757286,0.01357518695294857,0.05278303474187851,0.042184047400951385,0.1369677728064995,0.11651260426644222,0.8646491169929504,0.9007219076156616,27.638254967587688,0.6462317705154419
11,22000,11,0.020491410046815872,0.01463851984590292,0.056175194680690765,0.04501419514417648,0.14314821007199452,0.12098975099529266,0.85212641954422,0.8922182321548462,28.562652289623298,0.9325859546661377
12,24000,12,0.022196292877197266,0.016464674845337868,0.05946662276983261,0.04919043928384781,0.14898420344854438,0.12831474913406435,0.839785099029541,0.8790340423583984,25.82241126286279,0.8781003952026367
13,26000,13,0.023884553462266922,0.02066219598054886,0.06268700957298279,0.05685098469257355,0.15454628258960784,0.14374350761181828,0.8275555968284607,0.8480032682418823,13.491386752567005,0.8833523988723755
14,28000,14,0.02555467188358307,0.019179143011569977,0.06584241986274719,0.05401397496461868,0.15985828687804418,0.1384887829810414,0.8154480457305908,0.8585913777351379,24.94858435693273,1.0078908205032349
15,30000,15,0.027194656431674957,0.022307252511382103,0.06893304735422134,0.06070283427834511,0.16490802415793768,0.14935612646082552,0.8035485148429871,0.8358766436576843,17.97192743571584,1.1004698276519775
16,32000,16,0.0287969708442688,0.0244750939309597,0.07193298637866974,0.06446829438209534,0.16969670251442365,0.15644517867598126,0.7919102907180786,0.8211485743522644,15.008095596864631,0.906238317489624
17,34000,17,0.030377646908164024,0.022309016436338425,0.07486371695995331,0.05996086075901985,0.17429184406668036,0.14936203144152274,0.7804182767868042,0.8367534279823303,26.561077940691803,1.035498857498169
18,36000,18,0.03192151337862015,0.023754417896270752,0.07771748304367065,0.06277203559875488,0.17866592674211876,0.1541246829559456,0.7691815495491028,0.8265891671180725,25.58492570662209,0.9702510833740234
19,38000,19,0.03342732787132263,0.02769656665623188,0.08049698919057846,0.07023830711841583,0.18283141926737492,0.1664228549695981,0.758208155632019,0.7980048060417175,17.14394054215498,0.8877610564231873
20,40000,20,0.03489728271961212,0.02634144388139248,0.08319862186908722,0.06794209033250809,0.18680814414690844,0.1623004740639795,0.7474824786186218,0.8077966570854187,24.517206416794448,1.1155469417572021
21,42000,21,0.03632527217268944,0.028976192697882652,0.08580370247364044,0.07272858172655106,0.1905918995463591,0.17022394866141088,0.7370472550392151,0.7889069318771362,20.231312899376075,0.9815542697906494
22,44000,22,0.03770526498556137,0.03084123134613037,0.08831513673067093,0.076382115483284,0.1941784359437509,0.17561671716021335,0.7269473671913147,0.7765817046165466,18.204443443268392,0.987165629863739
23,46000,23,0.03904370591044426,0.032601844519376755,0.0907491147518158,0.08009691536426544,0.19759480233661073,0.18055980870442004,0.7171322703361511,0.7647883296012878,16.499103353158635,1.1848903894424438
24,48000,24,0.040346987545490265,0.03660256415605545,0.09310542792081833,0.08710791170597076,0.20086559572383286,0.19131796610892415,0.7075573801994324,0.7327626347541809,9.280552569663513,1.0104424953460693
25,50000,25,0.04160935804247856,0.03675592318177223,0.09536819905042648,0.08808431029319763,0.2039837200427489,0.19171834336278892,0.6982654929161072,0.7336398363113403,11.664286807192527,1.1303458213806152
26,52000,26,0.04283299297094345,0.03394925594329834,0.09755141288042068,0.08258037269115448,0.20696133206699133,0.18425323862363543,0.6892349720001221,0.7542304992675781,20.740406895384496,1.1348850727081299
27,54000,27,0.044016506522893906,0.03290972113609314,0.09965826570987701,0.08059259504079819,0.2098011118247325,0.1814103666720652,0.6804664134979248,0.7615516781806946,25.233227859698257,1.1328394412994385
28,56000,28,0.04516047239303589,0.03541620820760727,0.10169163346290588,0.08527675271034241,0.21250993481020103,0.18819194511882614,0.671967089176178,0.7425011992454529,21.576975769038377,0.9925354719161987
29,58000,29,0.0462469682097435,0.0359516367316246,0.10363765060901642,0.08639521151781082,0.21505108279137658,0.18960916837438163,0.6638584733009338,0.7370463013648987,22.261635468570745,1.3080987930297852
