step,dvf_raw,image_raw,dvf_weighted,image_weighted,total,image_to_dvf,gradient_l2_norm,vec_mean,vec_std,vec_abs_max
1,0.0024534042458981276,6.615908205276355e-05,2.4534041585866362e-05,0.006615908350795507,0.006640442181378603,269.6623840332031,0.05327790230512619,-4.184315912425518e-06,3.891038886649767e-06,1.6314341337420046e-05
2,0.001751174102537334,3.967989323427901e-05,1.7511740225018002e-05,0.003967989236116409,0.003985500894486904,226.59022521972656,0.06854280084371567,0.0002469332539476454,0.0007459807675331831,0.0011521077249199152
3,0.0025225209537893534,4.318479841458611e-05,2.522520844649989e-05,0.004318479914218187,0.004343705251812935,171.19699096679688,0.05200391262769699,0.0005530916387215257,0.0018073742976412177,0.0032622623257339
4,0.001491811010055244,3.10758659907151e-05,1.4918109627615195e-05,0.003107586642727256,0.00312250480055809,208.30967712402344,0.050612546503543854,0.001007826765999198,0.0035030727740377188,0.0070834471844136715
5,0.0023534062784165144,5.91568932577502e-05,2.353406307520345e-05,0.005915689282119274,0.00593922333791852,251.3671112060547,0.120719775557518,0.00178533885627985,0.006539382040500641,0.014060418121516705
6,0.0018360469257459044,2.6931729735224508e-05,1.8360467947786674e-05,0.002693173009902239,0.0027115335687994957,146.68324279785156,0.02470240741968155,0.003032715991139412,0.011367229744791985,0.02535400539636612
7,0.002084326697513461,4.545641058939509e-05,2.084326661133673e-05,0.004545641131699085,0.004566484596580267,218.0867919921875,0.04846946895122528,0.00406663678586483,0.01586250215768814,0.03601725026965141
8,0.002601074753329158,5.6364486226812005e-05,2.6010746296378784e-05,0.005636448506265879,0.005662459414452314,216.69691467285156,0.07847002148628235,0.005519072525203228,0.02159949578344822,0.04850643128156662
9,0.0023694010451436043,3.9628183003515005e-05,2.3694010451436043e-05,0.003962818533182144,0.0039865123108029366,167.2498016357422,0.23219092190265656,0.00805840827524662,0.028043800964951515,0.06498207896947861
10,0.0027547122444957495,4.161828837823123e-05,2.7547121135285124e-05,0.00416182866320014,0.004189375787973404,151.08035278320312,0.21497628092765808,0.0070591876283288,0.023277638480067253,0.05541647598147392
