shift_pixels_x,depth_shift_z_pixels,mse_moving_prime_vs_moving,mae_moving_prime_vs_moving,ncc_moving_prime_vs_moving,mse_moving_prime_vs_moved,mae_moving_prime_vs_moved,ncc_moving_prime_vs_moved,predicted_flow_x_mean_lowres,flow_mae_vs_known_translation_lowres
1,0,0.001792294904589653,0.013272928074002266,0.9870798587799072,0.00040822953451424837,0.0074578868225216866,0.9970619082450867,0.6038188338279724,0.35881590843200684
2,0,0.0040965271182358265,0.020372692495584488,0.9704695343971252,0.00010197979281656444,0.0038105614949017763,0.9992689490318298,1.4374110698699951,0.3764830529689789
3,0,0.005951082333922386,0.02522987127304077,0.957099974155426,0.0005319021292962134,0.008431913331151009,0.9961718320846558,1.8867545127868652,0.6106256246566772
4,0,0.007799702696502209,0.029707690700888634,0.943771481513977,0.0004460555501282215,0.007378346752375364,0.996793270111084,2.22509765625,0.8551446795463562
5,0,0.00971689261496067,0.03408390283584595,0.9299455285072327,0.0007542602252215147,0.009795142337679863,0.9945590496063232,2.6522059440612793,1.0959970951080322
6,0,0.011625297367572784,0.03819075971841812,0.9161790609359741,0.0006919471779838204,0.009207826107740402,0.9950140118598938,2.8570361137390137,1.4293369054794312
7,0,0.013444611802697182,0.042019136250019073,0.9030495285987854,0.0009352571796625853,0.010873704217374325,0.9932458400726318,3.062110662460327,1.7748286724090576
8,0,0.015230603516101837,0.04571590945124626,0.8901543021202087,0.0011480387765914202,0.011676116846501827,0.9916966557502747,3.1534981727600098,2.1608386039733887
9,0,0.017009995877742767,0.04930439591407776,0.8773001432418823,0.0016062116483226418,0.013870490714907646,0.9883521795272827,3.224666118621826,2.552945613861084
10,0,0.01876017265021801,0.05278303474187851,0.8646489977836609,0.002270833356305957,0.01624463126063347,0.9834972023963928,3.188093662261963,2.969402313232422
11,0,0.020491408184170723,0.056175194680690765,0.8521263599395752,0.0031044702045619488,0.018972458317875862,0.9774181246757507,3.1121714115142822,3.398014783859253
12,0,0.022196292877197266,0.05946662276983261,0.839785099029541,0.004345056600868702,0.02248392254114151,0.9683892726898193,2.913419008255005,3.8613967895507812
13,0,0.023884553462266922,0.06268700957298279,0.8275555968284607,0.006001908332109451,0.02669212967157364,0.9563498497009277,2.682992935180664,4.324495792388916
14,0,0.02555467188358307,0.06584241986274719,0.8154479265213013,0.008043854497373104,0.031519658863544464,0.9415859580039978,2.424879789352417,4.773456573486328
15,0,0.027194658294320107,0.06893303990364075,0.8035483360290527,0.010439882054924965,0.036807894706726074,0.9243046045303345,2.153994083404541,5.228454113006592
16,0,0.0287969708442688,0.07193298637866974,0.7919102311134338,0.012694014236330986,0.04161718487739563,0.9080442786216736,1.8885871171951294,5.660888671875
17,0,0.030377648770809174,0.07486370950937271,0.7804181575775146,0.014608081430196762,0.04560444876551628,0.8944156765937805,1.70054292678833,6.0874528884887695
18,0,0.03192151337862015,0.07771749049425125,0.7691815495491028,0.016371864825487137,0.049334265291690826,0.8817539811134338,1.5118558406829834,6.492110729217529
19,0,0.03342733159661293,0.08049698173999786,0.7582082748413086,0.01763206347823143,0.052003588527441025,0.8725690245628357,1.4361177682876587,6.859633445739746
20,0,0.03489728271961212,0.08319862186908722,0.7474822402000427,0.018643585965037346,0.054109126329422,0.8651045560836792,1.3747830390930176,7.2177276611328125
21,0,0.03632526844739914,0.08580370247364044,0.7370472550392151,0.019604001194238663,0.0561925508081913,0.8580005764961243,1.3599050045013428,7.573233604431152
22,0,0.03770526498556137,0.08831513673067093,0.7269474267959595,0.02092701569199562,0.05890052765607834,0.848131000995636,1.3544551134109497,7.9262590408325195
23,0,0.03904370218515396,0.0907491147518158,0.7171321511268616,0.021897658705711365,0.06082760915160179,0.8410531282424927,1.3612935543060303,8.273185729980469
24,0,0.040346987545490265,0.09310542792081833,0.7075572609901428,0.02316746860742569,0.06334582716226578,0.8318820595741272,1.3707003593444824,8.615946769714355
25,0,0.04160935804247856,0.09536820650100708,0.698265552520752,0.024401063099503517,0.06583601236343384,0.8230262994766235,1.366234540939331,8.969947814941406
26,0,0.04283299297094345,0.09755140542984009,0.6892349123954773,0.025484595447778702,0.06798504292964935,0.8151923418045044,1.3334482908248901,9.313932418823242
27,0,0.044016506522893906,0.09965826570987701,0.6804664731025696,0.02650034800171852,0.06999782472848892,0.8076104521751404,1.3437631130218506,9.635878562927246
28,0,0.04516047239303589,0.10169162601232529,0.6719672083854675,0.027672264724969864,0.0723029226064682,0.798957109451294,1.3438613414764404,9.959535598754883
29,0,0.0462469682097435,0.10363765805959702,0.6638584136962891,0.02862738072872162,0.07422798871994019,0.7918914556503296,1.308394432067871,10.309765815734863
30,0,0.047281768172979355,0.1055031418800354,0.656104564666748,0.029991917312145233,0.07677695155143738,0.7820026874542236,1.2412822246551514,10.66882610321045
31,0,0.048275984823703766,0.10730055719614029,0.6486271619796753,0.031036589294672012,0.07874545454978943,0.7743244767189026,1.2095541954040527,11.016467094421387
32,0,0.04923131689429283,0.1090335100889206,0.6414147019386292,0.03256412595510483,0.08154068142175674,0.7630318999290466,1.1406896114349365,11.37359619140625
33,0,0.05014879256486893,0.11070379614830017,0.6344550848007202,0.03393544629216194,0.0840359553694725,0.7529614567756653,1.112246036529541,11.732282638549805
34,0,0.05104049667716026,0.11232763528823853,0.6276627779006958,0.035049717873334885,0.08601448684930801,0.7446256875991821,1.0825886726379395,12.082694053649902
35,0,0.05189371109008789,0.11388788372278214,0.6211249828338623,0.0357898473739624,0.08733873814344406,0.738842248916626,1.0808066129684448,12.426231384277344
36,0,0.05268719047307968,0.11536435037851334,0.6149777770042419,0.03702115640044212,0.08959601074457169,0.7293398976325989,1.0610177516937256,12.753242492675781
37,0,0.053441233932971954,0.11677046865224838,0.6091094613075256,0.03795487433671951,0.09130044281482697,0.7224107384681702,1.0244790315628052,13.100090026855469
38,0,0.05415788292884827,0.11810564994812012,0.6035076379776001,0.03877618908882141,0.09281931817531586,0.7162909507751465,0.9620800018310547,13.454755783081055
39,0,0.054834626615047455,0.11938060820102692,0.598172128200531,0.03947770595550537,0.09412382543087006,0.7111805081367493,0.9475513100624084,13.793814659118652
40,0,0.055480025708675385,0.12060099840164185,0.5930423736572266,0.04034887254238129,0.09573157131671906,0.7043514847755432,0.8992243409156799,14.143852233886719
